         ID           RA          DEC       z       hostRA      hostDec  Rpar E(B-V) local_u-g local_u-g_min local_u-g_max global_u-g global_u-g_min global_u-g_max localmass localmass_min localmass_max globalmass globalmass_min globalmass_max localssfr localssfr_min localssfr_max globalssfr globalssfr_min globalssfr_max incl hubble_resid hubble_residerr residbiascor      c  cerr cbiascor     x1 x1err x1biascor     mb mberr mbbiascor    r_a    r_b  theta       survey
     PS15mt 09:54:44.177 +23:11:53.20 0.07145 09:54:44.262 +23:11:51.95 1.098    0.1      1.02         0.946         1.113      0.529          0.529          0.826     8.315         8.303         8.354      9.015          9.011          9.248    -9.765        -9.765        -9.765     -9.852         -9.895         -9.852 57.1        0.103           0.085        0.004 -0.061 0.036   -0.001  1.590 0.281     0.217 17.910 0.038    -0.029  7.989  4.545 -80.35 Not_Targeted
     590194 08:40:56.865 +44:31:27.56  0.0896 08:40:56.853 +44:31:27.47 0.263    0.2     1.109         1.108         1.145      1.456          1.456          1.456     9.603           9.6         9.616      10.15         10.123         10.152   -13.482       -24.104       -13.482    -16.445        -16.445        -16.445 54.5       -0.013           0.081       -0.007  0.031 0.029    0.005  0.468 0.239     0.009 18.749 0.037     0.007   9.02   5.44 -17.75 Not_Targeted
     2001ic 23:10:43.339 +07:34:10.40 0.04443 23:10:42.259 +07:34:03.98 2.435    0.2     0.957         0.946         1.334      1.579          1.503          1.579     9.122         9.108         9.195     11.903         11.707         11.904   -25.556         -99.0         -9.82    -13.056        -13.056        -13.056 28.1       -0.395           0.169       -0.060  0.072 0.096    0.013 -1.655 0.535    -0.049 17.137 0.132    -0.012 34.304 30.439 -15.44     Targeted
    PS16bnz 10:20:36.898 -02:28:00.30 0.06377 10:20:35.109 -02:28:05.99 4.844   0.06     1.291         1.156         1.456      1.762          1.762          1.763     8.237          7.95         8.465     11.658         11.658         11.659    -11.61        -11.61        -11.61     -42.46         -42.46         -42.46 43.4       -0.041           0.073        0.015 -0.120 0.036   -0.026 -1.104 0.227    -0.045 17.698 0.042    -0.060  29.77 22.013 -30.35 Not_Targeted
     2000cn 17:57:40.420 +27:49:58.10 0.02349 17:57:41.017 +27:50:05.32 1.999   0.18     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.177         9.176         9.185     10.337         10.337         10.337     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 32.3       -0.036           0.102       -0.040  0.094 0.029    0.008 -2.564 0.159    -0.101 16.314 0.043    -0.001 33.036 28.155 -48.59     Targeted
ASASSN-16br 15:45:30.295 -13:09:10.12 0.03001 15:45:30.506 -13:09:05.79 2.085   0.02     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.949         8.926         8.956     10.344         10.292         10.344     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 48.4       -0.025           0.056       -0.013 -0.033 0.038    0.001  0.818 0.104     0.006 16.017 0.093    -0.011 13.783  9.383 -80.73 Not_Targeted
     PS16el 10:51:12.537 +19:21:45.15 0.04957 10:51:12.510 +19:21:48.40 2.257   0.14     1.214         1.206         1.234      1.222          1.214          1.222     9.108           9.1         9.125     10.334         10.324         10.334   -19.041       -19.041       -11.543     -9.116         -9.116         -9.116 42.3       -0.104           0.067       -0.037 -0.029 0.036    0.004 -1.281 0.148    -0.018 17.327 0.044    -0.022  8.902  6.688  31.16 Not_Targeted
       7876 01:16:43.799 +00:47:40.69 0.07525 01:16:43.836 +00:47:37.35 1.466    0.0      0.83          0.83         0.985      1.068          1.068          1.068     8.948          8.83         8.951      10.26         10.258         10.261     -9.61        -9.745         -9.61    -10.312        -10.312        -10.312 38.8       -0.060           0.057       -0.002 -0.020 0.021    0.001  0.473 0.092    -0.001 18.147 0.030     0.000  9.789  7.726  62.49 Not_Targeted
 ATLAS17bas 11:07:35.485 +22:51:05.03 0.02327 11:07:35.761 +22:51:08.50 1.497    0.0     1.222         0.917         1.222      1.249          1.209          1.452     9.538         9.537         9.773     10.413         10.343          10.43    -8.412        -8.412        -8.412    -10.475        -10.475        -10.475 42.6       -0.312           0.053       -0.018  0.031 0.032    0.005  0.867 0.134     0.006 15.356 0.039    -0.002 22.508 16.839 -33.08 Not_Targeted
ASASSN-15mf 14:14:22.745 +02:58:31.87 0.02688 14:14:23.002 +02:58:41.05 3.681   0.16     1.464         1.464         1.601      1.452          1.452          1.452     9.594         9.593         9.688     10.529         10.528         10.529   -22.665       -22.665       -22.665    -21.221        -21.221        -21.221 37.1       -0.191           0.054       -0.020 -0.002 0.033    0.004 -1.177 0.183     0.000 15.979 0.041    -0.007 15.965 12.885 -32.02 Not_Targeted
     1996bl 00:36:17.970 +11:23:40.49 0.03424 00:36:18.113 +11:23:35.10 1.214   0.08     1.193          1.16         1.235      1.243          1.243           1.26     9.115         9.102         9.262     10.528         10.527         10.572    -9.672        -9.678        -9.672     -9.688         -9.688         -9.656 28.9       -0.098           0.081       -0.025  0.007 0.030    0.003 -0.151 0.110    -0.018 16.488 0.058    -0.011 24.718  21.78  46.43     Targeted
     2006mo 00:46:38.549 +36:19:57.79 0.03685 00:46:38.672 +36:19:53.34 0.629   0.18     1.487         1.474         1.503      1.417          1.417          1.418     9.442         9.439         9.461     10.934         10.934         10.934     -99.0         -99.0         -99.0    -29.445        -29.445        -29.445 61.2        0.065           0.088       -0.046  0.038 0.031    0.007 -2.205 0.115    -0.087 17.181 0.044    -0.012 35.812 18.345  82.52     Targeted
     2004as 11:25:39.180 +22:49:49.40 0.03282 11:25:38.751 +22:49:52.28 2.333   0.08     0.529         0.529         0.529      0.529          0.528          0.529     7.673         7.652         7.694      9.083          9.081          9.084    -9.116        -9.116        -9.116     -8.889         -8.889         -8.889 48.8        0.211           0.086       -0.028  0.033 0.028    0.006  0.407 0.144    -0.005 16.704 0.033    -0.010 15.071 10.178  -7.93     Targeted
     2008by 12:05:20.980 +40:56:45.60 0.04654 12:05:20.802 +40:56:44.47 2.919   0.16     0.529         0.528         0.529      0.529          0.528          0.529       7.7         7.667         7.736      8.335          8.308          8.363    -8.319        -8.335        -8.296     -8.098         -8.135         -8.056 59.5        0.044           0.084        0.088 -0.148 0.035   -0.061  0.478 0.308     0.003 16.834 0.078    -0.104  6.289  3.371  -39.7     Targeted
     2007bd 08:31:33.280 -01:11:57.99 0.03162 08:31:32.881 -01:11:52.18 1.263   0.08     1.488         1.488         1.488       1.22           1.22          1.221     8.839         8.838          8.84     10.688         10.688         10.689   -12.568       -12.568       -12.568     -11.12         -11.12         -11.12 44.8       -0.103           0.069       -0.008 -0.031 0.027   -0.005 -1.419 0.067    -0.007 16.335 0.034    -0.024 34.914 25.253 -87.22     Targeted
     010026 10:42:41.889 +58:50:37.78 0.03222 10:42:41.146 +58:50:39.00  1.15    0.0     1.452          1.26         1.453      0.947          0.946          0.947     8.451         8.449         8.607     10.469         10.468         10.469   -10.334       -10.334        -8.881    -10.327        -10.327        -10.327 42.7        0.027           0.059        0.005 -0.024 0.033    0.000 -0.408 0.089    -0.001 16.447 0.038     0.006 30.785 23.013 -67.87 Not_Targeted
  SN2016grz 01:55:32.965 +33:49:22.50 0.08716 01:55:32.992 +33:49:21.57 0.849   0.06     1.456         1.456         1.456      1.218          1.195          1.243     8.425         8.386         8.444      9.181          9.146          9.235    -19.03        -19.03        -19.03    -10.248        -10.308        -10.248 30.5       -0.040           0.069       -0.075  0.062 0.038    0.021  0.860 0.388     0.070 18.634 0.052    -0.020  3.916  3.396  16.56 Not_Targeted
      16392 01:51:48.139 +00:15:47.90 0.05834 01:51:48.498 +00:15:49.96 0.853    0.0     1.799         1.785         1.816      1.718          1.717          1.718     9.574         9.496         9.594     11.544         11.544         11.544   -25.556         -99.0        -13.92    -11.402        -11.402        -11.402 47.2       -0.006           0.083        0.013 -0.059 0.027   -0.006 -2.536 0.402    -0.008 17.924 0.032    -0.004 34.859 24.225  13.52 Not_Targeted
      2010H 08:06:24.359 +01:02:09.09 0.01679 08:06:24.081 +01:02:09.83 0.749   0.18     1.481         1.481         1.482       1.43           1.43           1.43     9.889         9.889         9.889     10.626         10.626         10.626     -99.0         -99.0         -99.0    -38.121        -38.121        -38.121 63.0       -0.012           0.141        0.041 -0.107 0.043   -0.030 -1.362 0.112    -0.017 14.875 0.055    -0.052 45.646 22.293 -42.44     Targeted
     2005hf 01:27:05.970 +19:07:00.50 0.04346 01:27:06.104 +19:06:59.35 0.877    0.2     1.473         1.473         1.481      1.482          1.481          1.487     9.927         9.927         9.938     10.763         10.763         10.779     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 49.2       -0.105           0.088       -0.011 -0.064 0.038   -0.012 -1.928 0.167    -0.072 17.036 0.052    -0.038 13.836  9.279  29.63     Targeted
   AT2017zd 13:32:42.148 -21:48:03.86 0.02906 13:32:42.158 -21:48:03.35 0.283    0.2     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.219         9.218         9.219     10.162         10.131         10.183     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 55.6       -0.138           0.052       -0.012 -0.040 0.034   -0.000  0.273 0.121    -0.008 15.889 0.058    -0.012 14.732  8.669  62.22 Not_Targeted
  CSS160428 13:23:07.202 +52:38:56.67 0.03113 13:23:07.208 +52:38:57.00 2.408    0.0     1.417         0.529         1.455      1.364          1.232          1.399      7.68         7.322         7.696      7.464          7.434          7.527   -12.727       -12.727        -8.739     -7.768         -7.821         -7.768 62.3        0.090           0.052       -0.010 -0.045 0.032   -0.001  0.878 0.165     0.009 16.170 0.035    -0.013  2.122  1.056 -30.28 Not_Targeted
