#Table J_ApJ_700_1097_table1:
#Name: J/ApJ/700/1097/table1
#Title: SALT light curve fit parameters and distances. Constitution set
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A11)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A11)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    ID                 (a9)    SN Ia identification (G1) [ucd=meta.id;meta.main]
#    n_ID               (I1)    Number of light fit parameters (i.e. {\bf 1} if this SN was studied only in this table, {\bf 2} if SN also in anotter table, etc [NULL integer written as an empty string] [ucd=meta.number]
#    zCMB               (F6.3)  Redshift in the CMB frame [ucd=src.redshift]
#    e_zCMB             (F6.3)  Uncertainty in zCMB [ucd=stat.error]
#    Bmag (mag)         (F6.3)  Apparent B band magnitude [ucd=phot.mag;em.opt.B]
#    e_Bmag (mag)       (F6.3)  Uncertainty in Bmag (1) [ucd=stat.error;phot.mag;em.opt.B]
#    s                  (F6.3)  SALT light curve stretch parameter [ucd=stat.fit.param]
#    e_s                (F6.3)  Uncertainty in s [ucd=stat.error]
#    c                  (F6.3)  Color parameter [ucd=phot.color.reddFree]
#    e_c                (F6.3)  Uncertainty in c [ucd=stat.error]
#    mu (mag)           (F6.3)  Distance modulus (2) [ucd=phot.mag.distMod]
#    e_mu (mag)         (F6.3)  Uncertainty in mu [ucd=stat.error]
#    SimbadName         (a18)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#    _RA (deg)          (F9.5)  Positions from Simbad (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)          (F9.5)  Positions from Simbad (declination part) [ucd=pos.eq.dec;meta.main]
#----------- ----------- --------- - ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------------------ --------- ---------
#                                  n                                                                                                             
#                                  _                                                                                                             
#_RAJ200     _DEJ200               I               Bmag   e_Bmag                             mu     e_mu                                         
RA          DEC         ID        I zCMB   e_zCMB Bmag   e_Bmag s      e_s    c      e_c    mu     e_mu   SimbadName         RA_deg    DEC_deg
10:48:50.96 +00:03:30.4 1996cf    1  0.570  0.005 23.310  0.313  1.080  0.100 -0.010  0.070 42.900  0.383 SN1996cf           162.21233 +00.05844
08:19:06.46 +07:43:21.2 1995ba    1  0.388  0.005 22.550  0.279  0.950  0.040 -0.140  0.080 42.315  0.351 SN1995ba           124.77692 +07.72256
04:40:33.59 -05:30:03.6 1995az    1  0.450  0.005 22.610  0.292  0.950  0.040 -0.160  0.080 42.427  0.361 SN1995az           070.13996 -05.50100
03:01:07.52 +00:21:19.4 1995ay    1  0.480  0.005 23.060  0.267  0.840  0.050  0.010  0.100 42.300  0.377 SN1995ay           045.28133 +00.35539
02:26:25.80 +00:48:44.2 1995ax    1  0.615  0.005 23.220  0.215  1.120  0.160  0.020  0.150 42.782  0.486 SN1995ax           036.60750 +00.81228
02:24:55.54 +00:53:07.5 1995aw    1  0.400  0.005 22.180  0.266  1.200  0.050 -0.170  0.090 42.333  0.359 SN1995aw           036.23142 +00.88542
01:04:50.94 +04:33:53.0 1995at    1  0.655  0.005 23.220  0.348  1.150  0.130  0.160  0.110 42.456  0.478 SN1995at           016.21225 +04.56472
01:01:35.30 +04:26:14.8 1995as    1  0.498  0.005 23.660  0.236  1.040  0.130 -0.010  0.120 43.200  0.422 SN1995as           015.39708 +04.43744
01:01:20.41 +04:18:33.8 1995ar    1  0.465  0.005 23.370  0.001  0.930  0.140  0.330  0.240 41.893  0.645 SN1995ar           015.33504 +04.30939
00:29:04.26 +07:51:20.0 1995aq    1  0.453  0.005 23.200  0.280  0.930  0.050 -0.120  0.090 42.889  0.369 SN1995aq           007.26775 +07.85556
10:19:26.68 +50:52:19.4 1994g     1  0.425  0.005 22.340  0.140  0.900  0.100  0.090  0.110 41.447  0.341 SN1994g            154.86117 +50.87206
23:31:53.03 +00:09:32.3 1999fw    1  0.278  0.005 21.720  0.001  0.890  0.100  0.090  0.060 40.815  0.199 SN1999fw           352.97096 +00.15897
04:14:03.88 +04:17:55.0 1999fn    1  0.477  0.005 22.720  0.001  1.030  0.050  0.020  0.060 42.170  0.167 SN1999fn           063.51617 +04.29861
02:30:35.62 +01:09:43.3 1999fm    1  0.950  0.010 24.300  0.001  1.160  0.030  0.040  0.100 43.859  0.262 SN1999fm           037.64842 +01.16203
02:28:53.88 +01:16:24.2 1999fk    1  1.057  0.010 24.770  0.001  0.950  0.130 -0.030  0.070 44.250  0.243 SN1999fk           037.22450 +01.27339
02:28:23.72 +00:39:09.6 1999fj    1  0.816  0.010 24.220  0.001  1.020  0.050 -0.110  0.180 43.994  0.470 SN1999fj           037.09883 +00.65267
02:33:54.39 +00:32:55.6 1999ff    1  0.455  0.005 23.210  0.001  0.860  0.080  0.000  0.090 42.501  0.253 SN1999ff           038.47662 +00.54878
