#SN name, redshift, host name, separation, SN ra, SN dec, host ra, host dec
2006le,0.017432,UGC03218,15.4942266548,75.17496,62.25528,75.18212,62.24403
1993y,0.019977,UGC02771,14.271751544,52.85172,39.75076,52.84869,39.74164
2008gp,0.033413,CGCG390-078,12.644528919,50.75304,1.36189,50.75,1.36578
2008gw,0.064,2MASXJ04392713+0908218,23.4518311409,69.85921,9.14211,69.86304,9.13936
2007fq,0.042449,MCG-04-48-019,3.237734187,308.7325,-23.10439,308.73329,-23.10506
2007fs,0.017192,ESO601-G005,13.0437373456,330.4185,-21.50822,330.40821,-21.51117
2007fr,0.050899,MCG+00-55-009,37.0589446152,324.28642,0.43717,324.28488,0.44642
2011ao,0.010706,IC2973,2.26215074651,178.46263,33.36286,178.4615,33.3655
2008ge,0.004043,NGC1527,0.484724348879,62.10283,-47.8965,62.10058,-47.89703
2008gh,0.03412,UGC03957,11.3216083839,115.23562,55.42564,115.24279,55.42711
2005f,0.028503,MCG+02-23-027,32.0772248678,136.22367,13.56564,136.20901,13.5619
2005g,0.023143,UGC08690,8.42655097966,206.13663,4.77897,206.14006,4.77562
2011aa,0.012355,UGC03906,5.48626763793,114.17763,74.443,114.16833,74.44833
2008gl,0.034017,UGC00881,17.9306924351,20.22842,4.80531,20.22279,4.80134
2008z,0.02099,SDSSJ094315.36+361709.2,2.41702106713,145.81354,36.28442,145.814,36.28589
2008y,0.069689,MCG+09-19-039,11.4094386213,169.87738,54.46283,169.87848,54.46085
2005cc,0.007572,NGC5383,0.781989571997,209.27021,41.84494,209.27072,41.84626
2005cf,0.006461,MCG-01-39-003,16.9764720971,230.38421,-7.41319,230.38872,-7.44788
2008l,0.0194,NGC1259,5.0592453851,49.31938,41.38267,49.322,41.38549
2005cr,0.021405,LEDA165106,1.43742708448,185.57171,12.39703,185.57082,12.39687
2006su,0.040522,IC3772,12.2416789483,191.737,36.53383,191.73369,36.53095
2008a,0.016428,NGC0634,8.85428612568,24.57242,35.37047,24.57775,35.36483
2003kz,0.050482,MCG+09-16-034,15.9568911586,144.64696,52.29811,144.65116,52.29495
2004eo,0.015701,NGC6928,19.5139981826,308.22579,9.92853,308.20925,9.92642
2001ed,0.016611,NGC0706,8.01112466859,27.96283,6.29094,27.96054,6.29689
2008hk,0.036,SDSSJ091243.63+095548.3,0.368626241116,138.18179,9.92997,138.18182,9.9301
2001eb,0.012652,NGC1589,7.7290613992,67.68792,0.87164,67.68933,0.86367
2001ec,0.04536,KUG0209+313A,7.22906860754,33.00179,31.5455,33.00017,31.54397
2004ey,0.015786,UGC11816,4.50871387164,327.28254,0.44422,327.2804,0.44733
2001en,0.015871,NGC0523,8.98965674863,21.34542,34.02514,21.33639,34.02496
2004eq,0.008843,ESO404-G012,5.25511880959,329.28942,-34.58092,329.27996,-34.58222
2006sr,0.02414,UGC00014,8.47265920587,0.89592,23.19617,0.89592,23.20078
1997bz,0.029831,MSACSSJ112225.46+011121.5,0.320127340902,170.60608,1.18931,170.60607,1.18945
2001ew,0.0179,ABELL0426:[BM99]011,0.194076508602,48.27908,42.43753,48.27904,42.43739
2003kh,0.0334,UGC11491,10.7233975878,298.07471,58.98125,298.07883,58.97764
2001eu,0.13524,SDSSJ023758.89-010139.1,5.46999362771,39.495,-1.02781,39.49539,-1.02751
2001er,0.016218,UGC05301,1.97832240357,148.33608,42.84578,148.33712,42.84436
2001es,0.06656,LOTOSSJ020208.21+190525.0,3.75200446546,30.53446,19.09097,30.53467,19.09028
2001ep,0.013129,NGC1699,4.99536139066,74.25108,-4.76117,74.24846,-4.75686
1997br,0.005961,ESO576-G040,6.8377896392,200.17667,-22.03675,200.18229,-22.05111
2004ef,0.030985,UGC12158,7.30163288606,340.54175,19.99456,340.54379,19.99697
1997bp,0.008312,NGC4680,4.22242679211,191.72396,-11.64256,191.72796,-11.63706
1997bq,0.009346,NGC3147,15.3624897117,154.27221,73.38392,154.22355,73.40075
2003kg,0.026035,IC1427,8.68290535759,330.89433,15.10294,330.8965,15.10678
2003kd,0.030187,UGC02468,3.9021646803,45.19083,44.45361,45.19087,44.45192
2003dw,0.030031,UGC10548,13.9003577989,251.46292,59.62722,251.46908,59.62203
2004bz,0.03413,MCG+02-56-025,25.085482329,333.75437,15.40461,333.76375,15.40144
2003du,0.006384,UGC09391,2.05751315736,218.64917,59.33439,218.65425,59.33781
1998aq,0.003699,NGC3982,1.76924389648,179.10779,55.12867,179.1172,55.12524
2001dd,0.019443,UGC11579,14.0603313109,307.72533,-0.65747,307.73029,-0.64933
2007so,0.029687,NGC1109,4.97312441948,41.92971,13.25411,41.93158,13.25533
2007sw,0.025244,UGC07228,1.23459574265,183.40367,46.49336,183.40338,46.49397
2003de,0.038293,2MASXiJ1010413+354448,3.82506525799,152.67188,35.74803,152.67246,35.74682
2007su,0.027862,SDSSJ221908.85+131040.5,0.279392064844,334.787,13.17786,334.78688,13.17792
2007sr,0.005477,NGC4038,43.2357593536,180.46999,-18.97277,180.47088,-18.86761
2007ss,0.015527,NGC4617,2.54538891127,190.27529,50.39131,190.27445,50.39341
1998ab,0.027132,NGC4704,8.55686746733,192.19683,41.92453,192.19345,41.92125
2003kc,0.033176,MCG+05-23-037,6.79511234154,146.643,30.65528,146.64478,30.65309
2010ev,0.009211,NGC3244,2.33251629609,156.37079,-39.83089,156.37017,-39.82756
2008bt,0.015364,NGC3404,5.21878348999,162.57033,-12.10889,162.57492,-12.10872
2001bs,0.029187,UGC10018,4.8107795794,235.91408,67.75869,235.91479,67.76083
2001br,0.020628,UGC11260,1.46827547991,277.60646,34.10361,277.60587,34.10281
2001bp,0.094859,LOTOSSJ160208.96+364314.0,14.6664026647,240.53854,36.71889,240.53733,36.72056
2003kf,0.007388,MCG-02-16-002,2.35434171266,91.14758,-12.62856,91.14546,-12.62486
2002hv,0.023426,UGC04974,22.0638654961,140.54546,33.83633,140.54309,33.84855
2000bk,0.025444,NGC4520,32.9155301804,188.47475,-7.37858,188.45791,-7.37554
2000bh,0.022809,ESO573-G014,6.96173516814,185.31308,-21.99881,185.31588,-21.99575
2002hu,0.03,MCG+06-06-012,13.752127776,34.58358,37.46633,34.57646,37.46433
2001ba,0.029557,MCG-05-28-001,17.1597552379,174.50733,-32.33083,174.50204,-32.32469
2001bg,0.007122,NGC2608,4.06524971714,128.82858,28.46828,128.82222,28.47342
2001bf,0.015501,MCG+04-42-022,3.04862162534,270.39162,26.25064,270.39004,26.25282
2002hl,0.006901,NGC3665,6.45200566623,171.16717,38.7675,171.18197,38.76285
2002hd,0.030835,MCG-01-23-008,19.1239200504,133.51413,-7.18931,133.51951,-7.18321
2002he,0.024564,UGC04322,21.7926674463,124.99513,62.82033,125.00725,62.83058
2001dn,0.01886,NGC0662,2.03883253961,26.14717,37.69714,26.14771,37.69578
2002cs,0.015771,NGC6702,8.26097225119,281.74983,45.70547,281.73992,45.70567
2006X,0.00524,NGC4321,5.14048909324,185.72496,15.80919,185.72846,15.82182
2002cu,0.023323,NGC6575,46.6740633904,272.71,31.10897,272.73954,31.11619
2006te,0.031592,CGCG207-042,3.78057265821,122.92912,41.55467,122.93117,41.55497
2002ck,0.029864,UGC10030,12.4449026547,236.75313,-0.99042,236.75174,-0.98515
2002ci,0.022225,UGC10301,1.10656052997,243.90813,31.3215,243.9074,31.3213
2005eu,0.0349,NSFJ022743.32+281037.6,0.954367144449,36.93025,28.17683,36.9305,28.17711
1992g,0.00529,NGC3294,3.357818084,159.07738,37.32117,159.06771,37.32469
2002cc,0.066,LOTOSSJ083402.11+553907.1,8.5847947812,128.50821,55.65344,128.50925,55.65189
2007bz,0.021778,IC3918,1.95527701496,194.22404,22.37281,194.2231,22.37361
1992m,0.052,[M92d]071131.74+453111.9,7.88370253413,108.79013,45.43046,108.79133,45.43222
2008ia,0.021942,ESO125-G006,2.33253901583,132.64646,-61.27794,132.64937,-61.27792
2002cd,0.010344,NGC6916,2.97386078728,305.89342,58.3465,305.88783,58.34406
2007ap,0.015818,MCG+03-41-003,9.02308076678,239.09608,16.51608,239.09831,16.52331
